Type,Long,Lat,Neighborhood,Downtown,Suburbs,D or S
Medical Center,40.8255151,-73.839721,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955565,-73.9758547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58414389,-74.08674137,West Toronto,No,Yes,Suburbs
Medical Center,40.76422632,-73.9567852,West Toronto,No,Yes,Suburbs
Medical Center,40.88105598,-73.87727906,West Toronto,No,Yes,Suburbs
Medical Center,40.77846185,-73.96112694,West Toronto,No,Yes,Suburbs
Medical Center,40.739342,-73.988315,West Toronto,No,Yes,Suburbs
Medical Center,40.7639577,-73.96823841,West Toronto,No,Yes,Suburbs
Medical Center,40.74732199,-74.1369009,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75957917,-73.97367947,East Toronto,No,Yes,Suburbs
Medical Center,40.75957917,-73.97367947,East Toronto,No,Yes,Suburbs
Medical Center,40.75482323,-74.21422107,East Toronto,No,Yes,Suburbs
Medical Center,40.829305,-74.10278433,East Toronto,No,Yes,Suburbs
Medical Center,40.88367169,-74.05668224,East Toronto,No,Yes,Suburbs
Medical Center,40.77729034,-73.70121765,Central Toronto,Yes,No,Downtown
Medical Center,40.97373939,-73.87982287,Central Toronto,Yes,No,Downtown
Medical Center,40.78514256,-74.17647257,Central Toronto,Yes,No,Downtown
Medical Center,40.718267,-73.994092,Central Toronto,Yes,No,Downtown
Medical Center,40.88822292,-73.91164355,Central Toronto,Yes,No,Downtown
Medical Center,40.679795,-73.998957,Central Toronto,Yes,No,Downtown
Medical Center,40.76466513,-73.9548111,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74732199,-74.1369009,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77091394,-73.95768877,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74680179,-73.8253355,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76927531,-73.924621,Downtown Toronto,Yes,No,Downtown
Medical Center,40.66543808,-73.95839477,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77879928,-73.72408483,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7530462,-74.23596162,Downtown Toronto,Yes,No,Downtown
Medical Center,40.78514256,-74.17647257,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73423003,-73.98337311,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75821367,-73.97048258,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77696675,-73.70148182,Central Toronto,Yes,No,Downtown
Medical Center,40.77729034,-73.70121765,Central Toronto,Yes,No,Downtown
Medical Center,40.77783256,-73.70142432,Central Toronto,Yes,No,Downtown
Medical Center,40.77725225,-73.70148754,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77783256,-73.70142432,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Downtown Toronto,Yes,No,Downtown
Medical Center,40.59298306,-73.94924364,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88545696,-74.05893111,West Toronto,No,Yes,Suburbs
Medical Center,40.72369492,-73.99772615,West Toronto,No,Yes,Suburbs
Medical Center,40.7475558,-73.97495935,West Toronto,No,Yes,Suburbs
Medical Center,40.74781736,-73.97486178,West Toronto,No,Yes,Suburbs
Medical Center,40.74330251,-73.97384673,West Toronto,No,Yes,Suburbs
Medical Center,40.74648136,-73.97247992,West Toronto,No,Yes,Suburbs
Medical Center,40.77846185,-73.96112694,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73423003,-73.98337311,East Toronto,No,Yes,Suburbs
Medical Center,40.8778474,-73.98289102,East Toronto,No,Yes,Suburbs
Medical Center,40.7530462,-74.23596162,East Toronto,No,Yes,Suburbs
Medical Center,40.7657966,-73.91357261,East Toronto,No,Yes,Suburbs
Medical Center,40.5873909,-73.95526886,East Toronto,No,Yes,Suburbs
Medical Center,40.8778474,-73.98289102,Central Toronto,Yes,No,Downtown
Medical Center,40.77846185,-73.96112694,Central Toronto,Yes,No,Downtown
Medical Center,40.75957917,-73.97367947,Central Toronto,Yes,No,Downtown
Medical Center,40.70385487,-73.91794682,Central Toronto,Yes,No,Downtown
Medical Center,40.71631412,-74.05027628,Central Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Central Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75145703,-73.99050672,Downtown Toronto,Yes,No,Downtown
Medical Center,40.90981229,-73.90852556,Downtown Toronto,Yes,No,Downtown
Medical Center,40.79113072,-73.97681891,Downtown Toronto,Yes,No,Downtown
Medical Center,40.80171811,-73.9570459,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77735142,-73.95047358,Downtown Toronto,Yes,No,Downtown
Medical Center,40.79379593,-74.06889004,Downtown Toronto,Yes,No,Downtown
Medical Center,40.65524385,-73.94535907,Downtown Toronto,Yes,No,Downtown
Medical Center,40.592737,-74.086911,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74196016,-73.97437967,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77846185,-73.96112694,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58475655,-74.08510208,Central Toronto,Yes,No,Downtown
Medical Center,40.800893,-73.946998,Central Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Central Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58475655,-74.08510208,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75145703,-73.99050672,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73063339,-73.8877814,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74078666,-74.19118881,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73472056,-73.98974344,West Toronto,No,Yes,Suburbs
Medical Center,40.665672,-74.11664,West Toronto,No,Yes,Suburbs
Medical Center,40.76422632,-73.9567852,West Toronto,No,Yes,Suburbs
Medical Center,40.63984258,-73.9676128,West Toronto,No,Yes,Suburbs
Medical Center,40.84537972,-73.845405,West Toronto,No,Yes,Suburbs
Medical Center,40.717,-73.99553395,West Toronto,No,Yes,Suburbs
Medical Center,40.72165222,-73.84907673,Downtown Toronto,Yes,No,Downtown
Medical Center,40.89416436,-73.86074636,East Toronto,No,Yes,Suburbs
Medical Center,40.79379593,-74.06889004,East Toronto,No,Yes,Suburbs
Medical Center,40.75482323,-74.21422107,East Toronto,No,Yes,Suburbs
Medical Center,40.774717,-73.96241109,East Toronto,No,Yes,Suburbs
Medical Center,40.8778474,-73.98289102,East Toronto,No,Yes,Suburbs
Medical Center,40.60792532,-73.9641881,Central Toronto,Yes,No,Downtown
Medical Center,40.79909622,-73.69987828,Central Toronto,Yes,No,Downtown
Medical Center,40.7453116,-73.97948301,Central Toronto,Yes,No,Downtown
Medical Center,40.95408741,-74.07123054,Central Toronto,Yes,No,Downtown
Medical Center,40.88353344,-74.01058042,Central Toronto,Yes,No,Downtown
Medical Center,40.73423003,-73.98337311,Central Toronto,Yes,No,Downtown
Medical Center,40.829305,-74.10278433,Downtown Toronto,Yes,No,Downtown
Medical Center,40.738665,-73.975303,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88367169,-74.05668224,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73423003,-73.98337311,Downtown Toronto,Yes,No,Downtown
Medical Center,40.880514,-73.881093,Downtown Toronto,Yes,No,Downtown
Medical Center,40.97373939,-73.87982287,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955565,-73.9758547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58475655,-74.08510208,Downtown Toronto,Yes,No,Downtown
Medical Center,40.69038363,-73.99476495,Downtown Toronto,Yes,No,Downtown
Medical Center,40.8778474,-73.98289102,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77846185,-73.96112694,Downtown Toronto,Yes,No,Downtown
Medical Center,40.8306462,-74.10329479,Downtown Toronto,Yes,No,Downtown
Medical Center,40.6668316,-73.975247,Central Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Central Toronto,Yes,No,Downtown
Medical Center,40.77725225,-73.70148754,Central Toronto,Yes,No,Downtown
Medical Center,40.97373939,-73.87982287,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71389408,-74.00955899,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77846185,-73.96112694,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73428578,-73.99787536,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7657966,-73.91357261,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73423003,-73.98337311,West Toronto,No,Yes,Suburbs
Medical Center,40.62041198,-73.96447895,West Toronto,No,Yes,Suburbs
Medical Center,40.79516464,-74.13612852,West Toronto,No,Yes,Suburbs
Medical Center,40.71269657,-74.00936963,West Toronto,No,Yes,Suburbs
Medical Center,40.77696675,-73.70148182,West Toronto,No,Yes,Suburbs
Medical Center,40.77729034,-73.70121765,West Toronto,No,Yes,Suburbs
Medical Center,40.77729034,-73.70121765,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71319894,-73.78228472,East Toronto,No,Yes,Suburbs
Medical Center,40.88955565,-73.9758547,East Toronto,No,Yes,Suburbs
Medical Center,40.73063339,-73.8877814,East Toronto,No,Yes,Suburbs
Medical Center,40.88822292,-73.91164355,East Toronto,No,Yes,Suburbs
Medical Center,40.75388918,-73.97038937,East Toronto,No,Yes,Suburbs
Medical Center,40.5873909,-73.95526886,Central Toronto,Yes,No,Downtown
Medical Center,40.88353344,-74.01058042,Central Toronto,Yes,No,Downtown
Medical Center,40.89416436,-73.86074636,Central Toronto,Yes,No,Downtown
Medical Center,40.74307505,-74.00298847,Central Toronto,Yes,No,Downtown
Medical Center,40.77696675,-73.70148182,Central Toronto,Yes,No,Downtown
Medical Center,40.77729034,-73.70121765,Central Toronto,Yes,No,Downtown
Medical Center,40.84874844,-73.84580612,Downtown Toronto,Yes,No,Downtown
Medical Center,40.734727,-74.000501,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88367169,-74.05668224,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74528483,-73.99303757,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58475655,-74.08510208,Downtown Toronto,Yes,No,Downtown
Medical Center,40.97373939,-73.87982287,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.760776,-73.92949,Downtown Toronto,Yes,No,Downtown
Medical Center,40.882751,-74.008191,Downtown Toronto,Yes,No,Downtown
Medical Center,40.918982,-74.069229,Downtown Toronto,Yes,No,Downtown
Medical Center,40.8778474,-73.98289102,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88042728,-73.8789558,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76376213,-73.95692536,Central Toronto,Yes,No,Downtown
Medical Center,40.73423003,-73.98337311,Central Toronto,Yes,No,Downtown
Medical Center,40.59116321,-73.95027841,Central Toronto,Yes,No,Downtown
Medical Center,40.83530747,-73.84786606,Downtown Toronto,Yes,No,Downtown
Medical Center,40.79393697,-73.9960447,Downtown Toronto,Yes,No,Downtown
Medical Center,40.70928713,-74.24991708,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77729034,-73.70121765,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77725225,-73.70148754,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77729034,-73.70121765,West Toronto,No,Yes,Suburbs
Medical Center,40.6188095,-73.9476322,West Toronto,No,Yes,Suburbs
Medical Center,40.65729286,-73.94640379,West Toronto,No,Yes,Suburbs
Medical Center,40.74661437,-73.82528738,West Toronto,No,Yes,Suburbs
Medical Center,40.88951062,-73.97568251,West Toronto,No,Yes,Suburbs
Medical Center,40.88955565,-73.9758547,West Toronto,No,Yes,Suburbs
Medical Center,40.58475655,-74.08510208,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74648136,-73.97247992,East Toronto,No,Yes,Suburbs
Medical Center,40.74330251,-73.97384673,East Toronto,No,Yes,Suburbs
Medical Center,40.60822821,-74.00440015,East Toronto,No,Yes,Suburbs
Medical Center,40.75696455,-74.16689083,East Toronto,No,Yes,Suburbs
Medical Center,40.6188095,-73.9476322,East Toronto,No,Yes,Suburbs
Medical Center,40.89416436,-73.86074636,Central Toronto,Yes,No,Downtown
Medical Center,40.89416436,-73.86074636,Central Toronto,Yes,No,Downtown
Medical Center,40.62014586,-73.9650644,Central Toronto,Yes,No,Downtown
Medical Center,40.64671746,-74.0211153,Central Toronto,Yes,No,Downtown
Medical Center,40.77741106,-73.7014818,Central Toronto,Yes,No,Downtown
Medical Center,40.77696675,-73.70148182,Central Toronto,Yes,No,Downtown
Medical Center,40.829305,-74.10278433,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75256785,-73.96952408,Downtown Toronto,Yes,No,Downtown
Medical Center,40.85937823,-74.13706855,Downtown Toronto,Yes,No,Downtown
Medical Center,40.85937823,-74.13706855,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75327623,-73.99476495,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74196016,-73.97437967,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76466513,-73.9548111,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Downtown Toronto,Yes,No,Downtown
Medical Center,40.6243349,-73.89503911,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58475655,-74.08510208,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76422632,-73.9567852,Central Toronto,Yes,No,Downtown
Medical Center,40.95672908,-74.06300068,Central Toronto,Yes,No,Downtown
Medical Center,40.7530462,-74.23596162,Central Toronto,Yes,No,Downtown
Medical Center,40.61886061,-74.02090911,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88822292,-73.91164355,Downtown Toronto,Yes,No,Downtown
Medical Center,40.61540332,-74.02281412,Downtown Toronto,Yes,No,Downtown
Medical Center,40.90044809,-74.0692916,Downtown Toronto,Yes,No,Downtown
Medical Center,40.6680419,-73.97978783,Downtown Toronto,Yes,No,Downtown
Medical Center,40.84125907,-73.9432983,Downtown Toronto,Yes,No,Downtown
Medical Center,40.97373939,-73.87982287,West Toronto,No,Yes,Suburbs
Medical Center,40.85768239,-74.17555404,West Toronto,No,Yes,Suburbs
Medical Center,40.84125907,-73.9432983,West Toronto,No,Yes,Suburbs
Medical Center,40.64671746,-74.0211153,West Toronto,No,Yes,Suburbs
Medical Center,40.71758902,-73.99992406,West Toronto,No,Yes,Suburbs
Medical Center,40.77741106,-73.7014818,West Toronto,No,Yes,Suburbs
Medical Center,40.77729034,-73.70121765,Downtown Toronto,Yes,No,Downtown
Medical Center,40.78514256,-74.17647257,East Toronto,No,Yes,Suburbs
Medical Center,40.74225774,-73.99121261,East Toronto,No,Yes,Suburbs
Medical Center,40.73063339,-73.8877814,East Toronto,No,Yes,Suburbs
Medical Center,40.74732199,-74.1369009,East Toronto,No,Yes,Suburbs
Medical Center,40.66319237,-73.85423396,East Toronto,No,Yes,Suburbs
Medical Center,40.78514256,-74.17647257,Central Toronto,Yes,No,Downtown
Medical Center,40.64671746,-74.0211153,Central Toronto,Yes,No,Downtown
Medical Center,40.84874844,-73.84580612,Central Toronto,Yes,No,Downtown
Medical Center,40.77696675,-73.70148182,Central Toronto,Yes,No,Downtown
Medical Center,40.77741106,-73.7014818,Central Toronto,Yes,No,Downtown
Medical Center,40.77729034,-73.70121765,Central Toronto,Yes,No,Downtown
Medical Center,40.77725225,-73.70148754,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77846185,-73.96112694,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71103443,-73.85624973,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75145703,-73.99050672,Downtown Toronto,Yes,No,Downtown
Medical Center,40.97373939,-73.87982287,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955565,-73.9758547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.717,-73.99553395,Downtown Toronto,Yes,No,Downtown
Medical Center,40.85239583,-74.17336964,Downtown Toronto,Yes,No,Downtown
Medical Center,40.85236928,-74.17322631,Downtown Toronto,Yes,No,Downtown
Medical Center,40.84874844,-73.84580612,Downtown Toronto,Yes,No,Downtown
Medical Center,40.84125907,-73.9432983,Downtown Toronto,Yes,No,Downtown
Medical Center,40.82942601,-74.1029564,Central Toronto,Yes,No,Downtown
Medical Center,40.71389408,-74.00955899,Central Toronto,Yes,No,Downtown
Medical Center,40.77846185,-73.96112694,Central Toronto,Yes,No,Downtown
Medical Center,40.74781736,-73.97486178,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74648136,-73.97247992,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71406555,-74.00917053,Downtown Toronto,Yes,No,Downtown
Medical Center,40.586289,-74.08754,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77529631,-73.98336737,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71103443,-73.85624973,Downtown Toronto,Yes,No,Downtown
Medical Center,40.84125907,-73.9432983,West Toronto,No,Yes,Suburbs
Medical Center,40.69038363,-73.99476495,West Toronto,No,Yes,Suburbs
Medical Center,40.77741106,-73.7014818,West Toronto,No,Yes,Suburbs
Medical Center,40.77729034,-73.70121765,West Toronto,No,Yes,Suburbs
Medical Center,40.84053484,-73.94120693,West Toronto,No,Yes,Suburbs
Medical Center,40.80555881,-73.96193504,West Toronto,No,Yes,Suburbs
Medical Center,40.76466513,-73.9548111,Downtown Toronto,Yes,No,Downtown
Medical Center,40.77729034,-73.70121765,East Toronto,No,Yes,Suburbs
Medical Center,40.73063339,-73.8877814,East Toronto,No,Yes,Suburbs
Medical Center,40.74239938,-74.03500115,East Toronto,No,Yes,Suburbs
Medical Center,40.890458,-73.974118,East Toronto,No,Yes,Suburbs
Medical Center,40.78514256,-74.17647257,East Toronto,No,Yes,Suburbs
Medical Center,40.69038363,-73.99476495,Central Toronto,Yes,No,Downtown
Medical Center,40.5873909,-73.95526886,Central Toronto,Yes,No,Downtown
Medical Center,40.72899026,-74.04838072,Central Toronto,Yes,No,Downtown
Medical Center,40.89416436,-73.86074636,Central Toronto,Yes,No,Downtown
Medical Center,40.7530462,-74.23596162,Central Toronto,Yes,No,Downtown
Medical Center,40.6188095,-73.9476322,Central Toronto,Yes,No,Downtown
Medical Center,40.78633178,-73.95734437,Downtown Toronto,Yes,No,Downtown
Medical Center,40.70394161,-73.92081213,Downtown Toronto,Yes,No,Downtown
Medical Center,40.70394161,-73.92081213,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7221414,-73.84471193,Downtown Toronto,Yes,No,Downtown
Medical Center,40.84125907,-73.9432983,Downtown Toronto,Yes,No,Downtown
Medical Center,40.6905615,-73.9976592,Downtown Toronto,Yes,No,Downtown
Medical Center,40.65333193,-73.91050104,Downtown Toronto,Yes,No,Downtown
Medical Center,40.94046682,-74.09840515,Downtown Toronto,Yes,No,Downtown
Medical Center,40.85550037,-73.84623528,Downtown Toronto,Yes,No,Downtown
Medical Center,40.717,-73.99553395,Downtown Toronto,Yes,No,Downtown
Medical Center,40.75897257,-74.15819855,Downtown Toronto,Yes,No,Downtown
Medical Center,40.65949845,-74.19762017,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7292422,-73.85127058,Central Toronto,Yes,No,Downtown
Medical Center,40.58475655,-74.08510208,Central Toronto,Yes,No,Downtown
Medical Center,40.586289,-74.08754,Central Toronto,Yes,No,Downtown
Medical Center,40.90400959,-73.96841526,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88955858,-73.97570547,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7287873,-73.85198593,Downtown Toronto,Yes,No,Downtown
Medical Center,40.63969474,-73.99849513,Downtown Toronto,Yes,No,Downtown
Medical Center,40.73307686,-74.0023228,Downtown Toronto,Yes,No,Downtown
Medical Center,40.64247906,-73.90266401,West Toronto,No,Yes,Suburbs
Medical Center,40.77846185,-73.96112694,West Toronto,No,Yes,Suburbs
Medical Center,40.89416436,-73.86074636,West Toronto,No,Yes,Suburbs
Medical Center,40.78514256,-74.17647257,West Toronto,No,Yes,Suburbs
Medical Center,40.66319237,-73.85423396,West Toronto,No,Yes,Suburbs
Medical Center,40.58475655,-74.08510208,West Toronto,No,Yes,Suburbs
Medical Center,40.586289,-74.08754,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88951062,-73.97568251,East Toronto,No,Yes,Suburbs
